Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,918
design__instance__area,16121.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 263.76 71.12
design__core__bbox,3.36 3.92 260.4 66.64
design__io,212
design__die__area,18758.6
design__core__area,16121.5
design__instance__count__stdcell,464
design__instance__area__stdcell,6164.12
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.382353
design__instance__utilization__stdcell,0.382353
design__rows,16
design__rows:GF018hv5v_mcu_sc7,16
design__sites,7344
design__sites:GF018hv5v_mcu_sc7,7344
design__instance__count__class:buffer,105
design__instance__area__class:buffer,1839.58
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,32
design__instance__area__class:endcap_cell,140.493
design__instance__count__class:tap_cell,117
design__instance__area__class:tap_cell,513.677
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,28578.2
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,13.1712
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,3196.21
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,2521
global_route__wirelength,48703
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,105
design__instance__area__class:antenna_cell,460.992
antenna_diodes_count,0
route__net,315
route__net__special,2
route__drc_errors__iter:0,285
route__wirelength__iter:0,33193
route__drc_errors__iter:1,57
route__wirelength__iter:1,32433
route__drc_errors__iter:2,55
route__wirelength__iter:2,31908
route__drc_errors__iter:3,12
route__wirelength__iter:3,31847
route__drc_errors__iter:4,5
route__wirelength__iter:4,31858
route__drc_errors__iter:5,0
route__wirelength__iter:5,31863
route__drc_errors,0
route__wirelength,31863
route__vias,2116
route__vias__singlecut,2116
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,378.98
design__instance__count__class:fill_cell,454
design__instance__area__class:fill_cell,9957.43
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99983
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99995
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000165067
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.00010994
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000471759
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.00010994
design_powergrid__voltage__worst,0.00010994
design_powergrid__voltage__worst__net:VDD,4.99983
design_powergrid__drop__worst,0.000165067
design_powergrid__drop__worst__net:VDD,0.000165067
design_powergrid__voltage__worst__net:VSS,0.00010994
design_powergrid__drop__worst__net:VSS,0.00010994
ir__voltage__worst,5
ir__drop__avg,0.000053600000000000001809663530139005160890519618988037109375
ir__drop__worst,0.00016499999999999999909794379249206031090579926967620849609375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
